IID	PRS	PRS_Risk_Group	PRS_Percentile
HG00096	-0.2701711890000001	Low	2.2763578274760383
HG00097	-0.40593524	Low	0.7587859424920127
HG00099	0.1602518599999999	Low	12.859424920127797
HG00100	0.24216228	Low	16.333865814696484
HG00101	-0.351910329	Low	1.3578274760383386
HG00102	0.5123662400000001	Intermediate	29.91214057507987
HG00103	-0.13293532	Low	4.073482428115016
HG00105	0.7976424400000002	Intermediate	53.394568690095845
HG00106	0.2361970399999999	Low	15.854632587859424
HG00107	0.08237869	Low	10.18370607028754
HG00108	0.2121377899999999	Low	14.896166134185304
HG00109	-0.2634110919999999	Low	2.4361022364217253
HG00110	0.2736487999999999	Low	17.33226837060703
HG00111	-0.02907727	Low	6.5095846645367414
HG00112	-0.18999617	Low	3.2348242811501593
HG00113	-0.00629327	Low	7.4281150159744405
HG00114	0.0232720799999999	Low	8.30670926517572
HG00115	0.0801697319999999	Low	10.063897763578275
HG00116	-0.19468668	Low	3.1150159744408943
HG00117	-0.4240391	Low	0.5990415335463258
HG00118	0.136513305	Low	12.100638977635784
HG00119	-0.2955098199999999	Low	1.876996805111821
HG00120	0.4695206999999999	Intermediate	27.595846645367413
HG00121	0.1509925300000001	Low	12.659744408945686
HG00122	-0.501401786	Low	0.23961661341853036
HG00123	0.0979874129999999	Low	10.782747603833865
HG00125	-0.4223404100000001	Low	0.6389776357827476
HG00126	-0.19732295	Low	3.0750798722044728
HG00127	-0.1547595299999999	Low	3.753993610223642
HG00128	0.18905855	Low	14.09744408945687
HG00129	0.43768353	Intermediate	25.918530351437703
HG00130	-0.01931075	Low	6.988817891373802
HG00131	-0.17389475	Low	3.47444089456869
HG00132	-0.3933111099999998	Low	0.9185303514376997
HG00133	-0.1185238399999999	Low	4.552715654952077
HG00136	-0.3969511799999999	Low	0.8785942492012779
HG00137	0.2839144800000001	Low	18.29073482428115
HG00138	-0.2938060599999999	Low	1.9568690095846646
HG00139	-0.3348525200000001	Low	1.5974440894568689
HG00140	0.07740284	Low	10.023961661341852
HG00141	0.0624152499999999	Low	9.464856230031948
HG00142	-0.08189073	Low	5.431309904153355
HG00143	0.0397840099999999	Low	8.626198083067091
HG00145	-0.2031102299999999	Low	2.915335463258786
HG00146	-0.2649418839999999	Low	2.3961661341853033
HG00148	0.2268889000000001	Low	15.375399361022366
HG00149	-0.2301125299999999	Low	2.7955271565495208
HG00150	-0.4207927200000001	Low	0.6789137380191693
HG00151	-0.2944905199999998	Low	1.9169329073482428
HG00154	-0.2864018800000001	Low	2.156549520766773
HG00155	0.1276095199999999	Low	11.861022364217252
HG00157	0.3493033	Intermediate	21.24600638977636
HG00158	-0.3730260900000001	Low	1.1980830670926517
HG00159	0.2319953	Low	15.694888178913738
HG00160	-0.0753599	Low	5.6709265175718855
HG00171	0.4931606399999999	Intermediate	28.554313099041533
HG00173	-0.0250376199999999	Low	6.669329073482428
HG00174	-0.03440589	Low	6.3099041533546325
